"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,120.124979789264,246.506398106631,24.8245156001451,75.1125940894952,915.9701,1.61871563587981,0.381644384388694,0.27622475703656,1.90269291002036,86.669070044181,0.383250627735368,45.55074,0.349563574314308,0.72377524296344,1.17543370055001,227.093790946262,1.00420874356437,193.2,0.650436425685692,313.762860990443,2.0997008564004,0.226821986293263,0.739543271403495,2.32567058853324,64.7040163861718,0.286121160459652,27.82166,0.273822637161906,3.26045672859651,1.10761996474118,285.263423725222,1.26143485971293,257.5463,0.726177362838094,349.967440111394,1.39019251009509,0.25,0.25,0.25,0.25,1,4,279.594085428584,77.9639964708158,0.996413318268004,0.987137460315338,382.2459,0.99719290339223,0,9.9,0,0,0,0,0,0,0,0,0,0,0,14893,250,1634.88901074524,3154.23035164631
2017,121.174354808678,250.557976249454,25.4670510915012,78.252613484576,901.213567826021,1.62698420260015,0.377775098733804,0.274192137077368,1.9097323360907,87.2625008846023,0.385874778911711,45.6935766523345,0.346249604968479,0.725807862922632,1.17378664958067,230.990611019842,1.02144048192974,196.790968019923,0.653750395031521,318.253111904444,2.12147797973167,0.222189199056934,0.727184299217763,2.34535046815745,66.0955212657512,0.292274395037152,28.181511532337,0.264413133052949,3.27281570078224,1.1055266613958,297.474051602368,1.31543025618567,269.07903896844,0.735586866947051,363.569572868119,1.57947232410096,0.25,0.25,0.25,0.25,1,4,283.59534801805,80.9942115956953,0.991493391480932,0.982684430975504,397.002432173979,0.996308285281538,0,9.9,0,0,0,0,0,0,0,0,-3.00503541619339,0,0,14893,250,1634.88901074524,3154.23035164631
2022,122.24983629783,254.640873092702,26.1017115320616,81.4287831615231,885.640024833993,1.57912137857978,0.783247491550242,0.439225343235636,1.86912394674289,159.830788336913,2.12031523807749,76.9599628499166,0.787210223303547,0.560774656764364,1.18364805397285,183.655499768677,0.812124619977088,155.160564115529,0.212789776696453,321.885711020202,2.06991747396366,0.455852118444525,1.25246819417777,2.29881672801903,132.522366659753,1.17202781073885,51.883270440857,0.503761480915211,2.74753180582223,1.11058375849982,261.64215360182,1.15698160322725,235.589753226038,0.496238519084789,375.580855190977,1.77174874946436,0.25,0.25,0.25,0.25,1,4,284.480054245503,83.164084733623,0.986557992906799,0.978093290509864,412.575975166007,0.995263607462653,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-3.18820119385792,41.7451829259814,63.3813559221608,14893,250,1634.88901074524,3154.23035164631
2027,124.690597608136,255.976476409086,27.3301070824065,83.5550932297524,873.911354536984,1.56381538961579,0.798654740031032,0.444028930208836,1.85621081044131,163.108277194207,2.16379440525835,79.0844707126154,0.794293841783019,0.555971069791164,1.18697566398637,183.805895234632,0.812789668727542,154.852286202173,0.205706158216981,324.904526113241,2.04207738917863,0.468366307195089,1.27588410303359,2.2737810060326,139.061839495188,1.22986290849544,55.0429681722281,0.512054487365073,2.72411589696641,1.11346466009653,267.217461254184,1.181635613666,239.987375289502,0.487945512634927,386.809382156274,1.91182278936861,0.25,0.25,0.25,0.25,1,4,287.125572735741,85.6413915761669,0.981669047081581,0.973551756888633,424.304645463016,0.994404612841374,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-2.36447383516315,41.6680376233324,64.6750504271957,14893,250,1634.88901074524,3154.23035164631
2032,127.202714971226,257.273316002913,28.5953347596032,85.6344714024812,861.877544551362,1.54828865507001,0.814753389588427,0.448960941063847,1.84314887066088,166.47864412831,2.20850569300616,81.2906554106804,0.801439038889228,0.551039058936153,1.19044266366309,183.897092826046,0.813192944476776,154.477908461529,0.198560961110772,327.946985211802,2.01398777649167,0.481522270693762,1.3000743362927,2.24858772652033,145.813150424877,1.28957150235761,58.3618925935655,0.521092532764158,2.6999256637073,1.11648528991438,272.535339213521,1.20515127000219,244.101146405986,0.478907467235842,397.966872607357,2.05157294948029,0.25,0.25,0.25,0.25,1,4,289.791067457473,88.1021805214339,0.976803739121434,0.969009424183028,436.338455448638,0.993460988414842,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-2.42461248120558,41.5726381636306,65.9011438440746,14893,250,1634.88901074524,3154.23035164631
2037,129.78870910099,258.530373838286,29.9002797530771,87.6640850275522,849.553905783958,1.53254787826725,0.831575980735188,0.454022104177953,1.82994617384814,169.944709982832,2.25448652263224,83.5818239740426,0.808633632509124,0.545977895822047,1.19405481538178,183.928158734607,0.813330317924434,154.036612360882,0.191366367490876,331.014746115394,1.98558348241233,0.495397415197341,1.32512577636619,2.22318280076755,152.791962679035,1.35129211793339,61.8540078502116,0.530918056371929,2.67487422363381,1.11966221539402,277.580710340109,1.22746190112396,247.914689380159,0.469081943628071,409.05220063529,2.19074994077458,0.25,0.25,0.25,0.25,1,4,292.477990712065,90.5461541358762,0.971961977574256,0.964468398620797,448.662094216042,0.992431113921423,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-2.48162871193281,41.45857551058,67.0556270524858,14893,250,1634.88901074524,3154.23035164631
2042,132.451160698197,259.746725099596,31.2480233217229,89.6409840880134,836.956763645464,1.51660057840164,0.849156238255638,0.459212813221597,1.81661149242434,173.509325903539,2.30177471743635,85.9613593574625,0.815864503444769,0.540787186778403,1.19781801371781,183.898305492015,0.813198306885689,153.527750781796,0.184135496555231,334.109645682919,1.95680861643033,0.51007417401518,1.35112349523581,2.1975213221573,160.014841331726,1.41517125673778,65.5344527247526,0.541571885993368,2.64887650476419,1.12301290157138,282.338068726192,1.24849893990722,251.411242320662,0.458428114006632,420.064644863532,2.3291192852063,0.25,0.25,0.25,0.25,1,4,295.187954623943,92.9731032395561,0.967143672711201,0.959930544249692,461.259236354536,0.991313678153565,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-2.53531843175866,41.3254697103875,68.1343699310766,14893,250,1634.88901074524,3154.23035164631
2047,135.192707641786,260.921547118902,32.6418440295595,91.5621133935869,824.103474317236,1.50045509616262,0.86752906350248,0.464533099086267,1.80315431829902,177.175367939962,2.35040843109154,88.4327145645463,0.823117647318392,0.535466900913733,1.20173827454786,183.806903831194,0.812794128741538,152.950861035319,0.176882352681608,337.233706934012,1.92761625771855,0.525640570477118,1.37815047829446,2.17156727665086,167.499219219064,1.4813630947734,69.41958414922,0.553091769669981,2.62184952170554,1.1265558006971,286.791594416549,1.26819243050998,254.573802947964,0.446908230330019,431.003979317642,2.46646063700001,0.25,0.25,0.25,0.25,1,4,297.922737538133,95.382927428181,0.962348736447738,0.955397517660637,474.112525682764,0.990107684927876,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-2.58547462410734,41.1729732245301,69.133150559455,14893,250,1634.88901074524,3154.23035164631
2052,138.016041844026,262.054127866087,34.0852143398538,93.4243306470626,811.012432110003,1.4841205918548,0.886730521569341,0.469982602937794,1.78958484883155,180.945731501634,2.40042607410068,90.9994060677252,0.83037824474265,0.530017397062206,1.20582172274491,183.653493806953,0.812115749614344,152.305676985887,0.16962175525735,340.389145232291,1.89796843350106,0.542190706049739,1.40628705366417,2.14529349380603,175.263331212124,1.55002890124002,73.5270015717363,0.56551052590922,2.59371294633583,1.13031041820266,290.925307886855,1.28647171147567,257.385319290841,0.43448947409078,441.870576772491,2.60256711926857,0.25,0.25,0.25,0.25,1,4,300.684289596185,97.775658493653,0.957577082261321,0.950870797278054,487.203567889997,0.988812459687143,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-2.63188976701852,41.0007743225249,70.0476948441937,14893,250,1634.88901074524,3154.23035164631
2057,140.92390580487,263.143873839509,35.5817911492515,95.2244317440015,797.703065333721,1.46760703537072,0.906797823437999,0.475560550936135,1.77591396477127,184.823325766742,2.4518662396216,93.6650065767638,0.837630750268989,0.524439449063865,1.21007457852822,183.437794942437,0.811161929235456,151.592140019623,0.162369249731011,343.578373399016,1.86783633308037,0.559825144628346,1.43561000168832,2.11868179941565,183.32610900715,1.62133610805924,77.8755441954248,0.578853776064338,2.56438999831168,1.13429734816304,294.723271524309,1.30326630668049,259.82893462777,0.421146223935662,452.665524800386,2.73724470491705,0.25,0.25,0.25,0.25,1,4,303.474737353786,100.151486815128,0.952828625104471,0.946351708201307,500.512934666279,0.987427656580103,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-2.67435753029794,40.8086005343696,70.8737284999597,14893,250,1634.88901074524,3154.23035164631
