"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,175.476416444924,244.367508587418,43.9799217026548,73.243383341403,915.9701,1.24842527303801,0.294341071540287,0.227406112663964,1.30825000271815,59.5917557288136,0.263514743832814,45.55074,0.34711263561195,0.772593887336036,1.04792015266925,202.4581734957,0.895270043197985,193.2,0.65288736438805,262.049929224514,1.40738961989724,0.152034471053595,0.527881673243862,1.44399463858746,40.1743278766032,0.177650877870339,27.82166,0.27074621291549,3.47211832675614,1.02600915778595,264.244862353887,1.16849078132889,257.5463,0.72925378708451,304.41919023049,1.39019251009509,0.25,0.25,0.25,0.25,1,4,233.512691931964,67.8169851035975,0.995705522512357,0.985212922735376,382.2459,0.99719290339223,0,9.9,0,0,0,0,0,0,0,0,0,0,0,14877,120,225.257591657154,533.641009186031
2017,176.995294019763,248.403624127238,44.851088905971,76.3986273402187,901.140193372374,1.25493565794621,0.286022235583084,0.222408468274579,1.31353491740012,59.1413969935545,0.261523257505498,45.0246097078357,0.342353744202568,0.777591531725421,1.04669503100247,206.772025513992,0.914345896822874,197.547537142655,0.657646255797432,265.913422507547,1.4288262423542,0.139879948113458,0.490858527145651,1.46317056758442,38.854222391722,0.171813371416195,26.5548140814965,0.257983036409517,3.50914147285435,1.02403674023626,277.768350044046,1.22829164389477,271.248422180594,0.742016963590483,316.622572435768,1.58039579994213,0.25,0.25,0.25,0.25,1,4,236.955450796475,70.5355935743782,0.95065935627066,0.941118071684374,397.075806627626,0.996303626634742,0,9.9,0,0,0,0,0,0,0,0,-3.02861162562978,0,0,14877,120,225.257591657154,533.641009186031
2022,178.553268291832,252.46966930275,45.708392339743,79.5940362649233,885.440694413643,1.21813597938382,1.44119507644109,0.590364567891126,1.28404315094926,179.160383267649,2.37674164442863,125.575487725377,0.867840421392336,0.409635432108874,1.05410493793869,111.882386761315,0.494743914258533,106.139704629504,0.132159578607664,262.623271323679,1.40053090965684,0.667902846881611,1.60177878017381,1.43789516599601,147.335367668366,1.30303399165902,92.2194009948404,0.604706322868518,2.39822121982619,1.02667863742353,198.534609517892,0.877920043288117,193.375611687138,0.395293677131482,320.662220680438,1.77416242402354,0.25,0.25,0.25,0.25,1,4,230.928713667525,70.7492450412136,0.907492713610025,0.898514043506462,412.775305586357,0.995249519505209,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-3.24230553588593,23.3070461120559,47.3776532297349,14877,120,225.257591657154,533.641009186031
2027,182.495511296333,253.269091033133,47.7745223985728,81.2421085435613,878.581438044759,1.20298754607916,1.54411069972162,0.606935342825522,1.2721859402094,185.667134993186,2.46306021281961,131.349055364001,0.879162241316324,0.393064657174478,1.0575221201215,108.217902721608,0.47853956583495,102.331573649896,0.120837758683676,264.67950871414,1.37845269179844,0.729038716479029,1.68657580545941,1.41838674164419,158.875225743804,1.4050924964782,100.810095703287,0.631299913954751,2.31342419454059,1.02897019976337,196.131837634081,0.867294986017905,190.60983270379,0.368700086045249,328.013301207074,1.85651811148796,0.25,0.25,0.25,0.25,1,4,232.675428106999,72.3382580013057,0.866412880718181,0.858079805189653,419.634561955241,0.99475392633162,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-1.35572242866049,22.1741717101518,46.6002619519311,14877,120,225.257591657154,533.641009186031
2032,186.576343918774,254.000846210429,49.9653608609406,82.7614103161901,872.030108511781,1.18758767024797,1.6577555373478,0.62374267085606,1.26031383161401,192.364535841392,2.55190793247191,137.369025011444,0.889936764629139,0.37625732914394,1.06123856216094,104.435230862951,0.46181259087597,98.4088164401943,0.110063235370861,266.808808924151,1.35436730315331,0.803428228673551,1.78200211330724,1.39733846803053,171.688057652915,1.51840918188238,110.581119337113,0.661043638417694,2.21799788669276,1.03172785165233,192.32489769837,0.850460697622193,186.410493222955,0.338956361582306,335.080450813241,1.93392932910608,0.25,0.25,0.25,0.25,1,4,234.487314330048,73.8598599938714,0.827193245585075,0.819443896468038,426.185891488219,0.994261208595911,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-1.28930645800868,20.998242196053,45.4523368858111,14877,120,225.257591657154,533.641009186031
2037,190.798402586307,254.667995434574,52.2939408781986,84.1409317476668,865.868961582038,1.17197347875568,1.78321133448152,0.640702814187738,1.24847310124269,199.239601730721,2.64311255655974,143.627957526008,0.900109908467796,0.359297185812262,1.06527419252545,100.557706251786,0.444666177045399,94.3960784531859,0.0998900915322035,269.025252402417,1.3282888024138,0.894313989133725,1.88841764198278,1.37484866349842,185.863783444703,1.64377930078496,121.669685938074,0.69352776487922,2.11158235801722,1.03505251342932,187.045497591138,0.827115190348011,180.711118676889,0.30647223512078,341.888753417096,2.00565192754133,0.25,0.25,0.25,0.25,1,4,236.377325563122,75.3197331780731,0.789749728785531,0.78253004437418,432.347038417962,0.993780851109811,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-1.20624877312329,19.7846591363399,43.9154281456791,14877,120,225.257591657154,533.641009186031
2042,195.164083941806,255.273991330315,54.7714858491307,85.3723087206018,860.181592560089,1.15618278311096,1.92165538631325,0.657728284901571,1.23670976450911,206.278657942714,2.73649267626804,150.116702783642,0.909643024837385,0.342271715098429,1.06964900582716,96.6098258151366,0.427208649754534,90.3191844136089,0.0903569751626153,271.343237023604,1.30032198523624,1.00561012327305,2.00559443055053,1.35111159796342,201.443809147829,1.7815690481034,134.185383728721,0.727967637580293,1.99440556944947,1.03905925863274,180.287990382352,0.79723349347076,173.510787651887,0.272032362419707,348.488910304155,2.07095775194453,0.25,0.25,0.25,0.25,1,4,238.358681142374,76.7295793338295,0.754002029675663,0.747265349500082,438.034407439911,0.993323034242845,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-1.10650835904298,18.5394996151069,41.9874899899164,14877,120,225.257591657154,533.641009186031
2047,199.675591700846,255.822564505866,57.4059778305183,86.4512768820582,855.04891494255,1.14025325270464,2.07436994396755,0.674730101378276,1.22506864231617,213.467886024674,2.83186497600333,156.824761312129,0.918513134583513,0.325269898621724,1.0743829402901,92.6166029260653,0.409550618139061,86.2044616057074,0.0814868654164866,273.777248019708,1.27067827440924,1.14191517642225,2.13251241504278,1.32642706934023,218.40016693485,1.93153107637181,148.18768011055,0.763210685746427,1.86748758495722,1.04387325734117,172.132006211889,0.761167731468975,164.897419300043,0.236789314253573,354.961333532286,2.12917043624415,0.25,0.25,0.25,0.25,1,4,240.444647172973,78.1080949691515,0.719873453370981,0.713580136964427,443.16708505745,0.99289815619227,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-0.990889141228221,17.2695037906522,39.6888581968659,14877,120,225.257591657154,533.641009186031
2052,204.33498336818,256.317620946496,60.2008794003259,87.3788850308081,850.544248598011,1.12422172011657,2.24275244149908,0.691619999355327,1.2135925617392,220.793854458235,2.92905127324294,163.740678113282,0.926712210667027,0.308380000644673,1.07949574360951,88.6029440144489,0.391802218431893,82.0780855681631,0.0732877893329728,276.341645229466,1.23967682544925,1.30846346869746,2.2672457007704,1.30119282999287,236.622141609194,2.09268622039171,163.665155954972,0.797861252184975,1.7327542992296,1.04962261395935,162.755730322582,0.719705839486459,155.061188810177,0.202138747815025,361.415984646157,2.17970763200101,0.25,0.25,0.25,0.25,1,4,242.648333875791,79.4809335981967,0.68729074645078,0.681407689280624,447.671751401989,0.992516210483911,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-0.861218024379158,15.9820109635734,37.0657743483256,14877,120,225.257591657154,533.641009186031
2057,209.144221649634,256.763142364497,63.1545089133627,88.1619260300446,846.728193173251,1.10812356902511,2.42832722847094,0.70831255788672,1.20232166029369,228.244021851324,3.02788519387967,170.852465234648,0.934245718767775,0.29168744211328,1.08500684752284,84.5930553583338,0.374070490794552,77.9654575927026,0.0657542812322246,279.050469762076,1.20772323546829,1.51103102490651,2.40702884180855,1.27587407115537,255.918997307172,2.26334761218463,180.524945826261,0.830517635121081,1.59297115819145,1.05642918318174,152.43042252604,0.674047328410148,144.288348857376,0.169482364878919,367.985945609501,2.2221231199398,0.25,0.25,0.25,0.25,1,4,244.982512053944,80.8791734474161,0.656183941144302,0.65068386761441,451.487806826749,0.992186091175304,1,9.9,0.25,2,0.5,0.1,0.05,0.25,0.5,0.05,-0.72034415755136,14.6847804689857,34.1889739447425,14877,120,225.257591657154,533.641009186031
